Neighborhood,Pincode,latitude,longitude
Purani Basti,302001 ,26.930038198008976,75.80509179210249
Purshottampura,303105 ,27.74574989900003,76.08626000000004
R.A.c.,302003 ,26.91063500000007,75.84966227600006
Radahkishanpura,303701 ,27.08825500000006,75.63969125000006
Radawas,303601 ,27.370295000000056,75.83041412800003
Radoli,303908 ,26.635280000000023,76.10363785000004
Raghunathpura,303701 ,27.08825500000006,75.63969125000006
Rahori,302027 ,26.97820500000006,75.97575804100006
Raikaranpura,303105 ,27.74574989900003,76.08626000000004
Raipur,303001 ,27.102760000000046,76.22492738100004
Raisar,303109 ,27.03284375900006,76.08377500000006
Raithal,303801 ,27.206260000000043,75.57590294600004
Raj Bhawan,302006 ,26.91469472400007,75.77727000000004
Raja Park colony,302004 ,26.887956048000035,75.83186000000006
Rajasthan Secretariate,302005 ,26.89951074700008,75.79193500000008
Rajasthan State hotel,302001 ,26.930038198008976,75.80509179210249
Rajasthan University,302004 ,26.887956048000035,75.83186000000006
Rajnauta,303110 ,27.603484826000056,76.17118500000004
Rajpura,303305 ,26.831415462000052,76.18516500000004
Rajpurawas Tala,303002 ,27.141260000000045,75.94937599000008
Rambura Dabari,303704 ,27.11987238900008,75.76623500000005
Ramganj Bazar,302003 ,26.91063500000007,75.84966227600006
Ramjipura,303603 ,27.149745000000053,75.40720517100004
Ramnagar,303908 ,26.635280000000023,76.10363785000004
Rampura,303106 ,27.573030000000074,76.02734073000005
Rampura Roopa,302015 ,26.890573800000027,75.79772500000007
Rampura Unti,303007 ,26.81422006500003,75.55353500000007
Ramsinghpura,303108 ,27.77030459200006,76.19953000000004
Raopura,303804 ,27.29353375000005,75.75790000000006
Rasili,303008 ,26.605274991000044,75.16652500000004
Rehlana,303008 ,26.605274991000044,75.16652500000004
Renwal,303603 ,27.149745000000053,75.40720517100004
Road No-5 vkia,302013 ,27.044835000000035,75.80582090400003
Rojda,302012 ,26.960270000000037,75.66582122300008
Rojdi,303338 ,26.879625000000033,75.29119745300005
Roop Was,302027 ,26.97820500000006,75.97575804100006
Roopa Hedi kalan,303908 ,26.635280000000023,76.10363785000004
Roopahedi Khurd,303908 ,26.635280000000023,76.10363785000004
Rundal,303805 ,27.11880344900004,75.86183000000005
S.D.m.hospitial,302015 ,26.890573800000027,75.79772500000007
S.F.s.mansarovar,302020 ,26.850430000000074,75.75422102300007
S.M.s.hospital,302004 ,26.887956048000035,75.83186000000006
Saipura,302027 ,26.97820500000006,75.97575804100006
Saiwad,303103 ,27.398385000000076,76.02488576700006
Saiwar,302027 ,26.97820500000006,75.97575804100006
Sakhoon,303008 ,26.605274991000044,75.16652500000004
Sali,303008 ,26.605274991000044,75.16652500000004
Salt Colony,303604 ,26.98643383800004,75.26827500000007
Sambhar Lake,303604 ,26.98643383800004,75.26827500000007
Sambharia,303903 ,26.68888000000004,75.91045968200007
Samod,303806 ,27.215539957000033,75.83599500000008
Samred Kalan,303109 ,27.03284375900006,76.08377500000006
Sandarsar,303801 ,27.206260000000043,75.57590294600004
Sanganer Bazar,302029 ,26.785010000000057,75.65884962700005
Sangteda,303108 ,27.77030459200006,76.19953000000004
Sankotra,303001 ,27.102760000000046,76.22492738100004
Sanwali,303009 ,26.678590000000042,75.38565875900008
Sanwalia,303901 ,26.58943000000005,75.90438374400003
Sanwarda,303348 ,26.841635000000053,75.08067595400007
Sarund,303105 ,27.74574989900003,76.08626000000004
Sawai Madhosinghpura,303901 ,26.58943000000005,75.90438374400003
"Sector 11,12 malviya nagar",302017 ,26.83753500000006,75.84306881700007
Sector-11 Pratap nagar,302033 ,26.806965000000048,75.82659652100006
Sewa,303008 ,26.605274991000044,75.16652500000004
